Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",181.447600,-59.207400,180.000000,bottom
"Brd1","SSD1306","128x64OLED",142.849600,-60.858400,180.000000,bottom
"C7","10u","C_0805_2012Metric",157.947400,-88.392000,0.000000,bottom
"C8","100n","C_0805_2012Metric",157.947400,-86.309200,0.000000,bottom
"C9","100n","C_0805_2012Metric",117.993200,-99.212400,180.000000,bottom
"C10","10u","C_0805_2012Metric",117.998200,-101.485800,180.000000,bottom
"C11","100n","C_0805_2012Metric",194.680800,-56.921400,180.000000,bottom
"C12","10u","C_0805_2012Metric",194.680800,-59.017000,180.000000,bottom
"C13","100n","C_0805_2012Metric",102.997000,-86.070400,-90.000000,bottom
"C14","10u","C_0805_2012Metric",105.283000,-86.070400,-90.000000,bottom
"C15","100n","C_0805_2012Metric",174.625000,-98.882200,180.000000,bottom
"C16","10u","C_0805_2012Metric",174.625000,-101.092000,180.000000,bottom
"C17","100n","C_0805_2012Metric",180.202800,-99.771200,180.000000,bottom
"C18","10u","C_0805_2012Metric",180.177400,-101.904800,180.000000,bottom
"C19","100n","C_0805_2012Metric",206.349600,-64.399200,90.000000,bottom
"C20","100n","C_0805_2012Metric",195.453000,-70.942200,180.000000,bottom
"C21","100n","C_0805_2012Metric",213.260300,-70.993000,0.000000,bottom
"D1","LED","LED_D3.0mm",170.205400,-50.038000,0.000000,bottom
"D2","LED","LED_D3.0mm",161.798000,-50.114200,0.000000,bottom
"R3","470k","R_0805_2012Metric",204.266800,-64.399200,-90.000000,bottom
"R6","330","R_0805_2012Metric",202.209400,-64.399200,-90.000000,bottom
"R7","330","R_0805_2012Metric",195.453000,-75.082400,0.000000,bottom
"R8","470k","R_0805_2012Metric",195.453000,-73.025000,0.000000,bottom
"R9","330","R_0805_2012Metric",213.260300,-75.133200,180.000000,bottom
"R10","470k","R_0805_2012Metric",213.260300,-73.075800,180.000000,bottom
"SW1","SW_Push_Open","SW_PUSH-12mm",210.176600,-106.135800,180.000000,bottom
"SW2","SW_Push_Open","SW_PUSH-12mm",201.472800,-93.501200,180.000000,bottom
"SW3","SW_Push_Open","SW_PUSH-12mm",218.925800,-93.501200,180.000000,bottom
"SW4","SW_SPDT","SPDT",131.064000,-98.579800,90.000000,bottom
"SW5","SW_Push_DPDT","DPDT",139.929200,-89.305400,-90.000000,bottom
"SW6","SW_Push_Open","SW_PUSH_6mm_H9.5mm",207.186600,-83.638000,180.000000,bottom
"U7","40106","SOIC-14_3.9x8.7mm_P1.27mm",204.165200,-72.567800,180.000000,bottom
